"Kurs-ID","Modulnummer","Kursname","Dozierende","Semester"
"358","CAF-MRE-F03","Konzernrechnungslegung / Konzerncontrolling","Prof. Dr. Madeleine Janke","SoSe26"
"359","EcoPol-F06","The Politics of Social Cohesion in Europe","Prof. Dr. Martina Sproll","SoSe26"
"360","CAF-MSCOM-F01","Beschaffungs- und Produktionsmanagement 1 Blended","Prof. Dr. Marc Rothländer","SoSe26"
"361","CAF-MSCOM-F01","Production and Supply Management 2","Prof. Dr. Alexander Tsipoulanidis","SoSe26"
"362","CAF-MSCOM-F02","Distributions- und Transportmanagement 1 Blended","Prof. Dr. Marc Rothländer","SoSe26"
"363","CAF-MSCOM-F02","Distribution and Transportation Management 2","Prof. Dr. Eberhard Schmid","SoSe26"
"364","CAF-MSCOM-F03","Supply Chain Management und Informationssysteme","Prof. Dr. Christoph Manuel Meyer","SoSe26"
"365","CAF-MSCOM-F06","Operations Technology and Methods","Prof. Dr. Alexander Tsipoulanidis","SoSe26"
"366","QS-M01-F01","Introduction to Time Series Analysis","Prof. Dr. Till Strohsal","SoSe26"
"367","QS-M01-F04","Platforms and Digital Business Ecosystems","Prof. Dr. Sabine Baumann / Tjark-Marvin Göllner","SoSe26"
"368","QS-M01-F05","International Management","Prof. Dr. Ewa Ostaszewska","SoSe26"
"369","IBMAN-MI-F01","Management Issues: Strategy and Innovation","Prof. Dr. Caroline V. Rudzinska","SoSe26"
"370","IBMAN-M32-F01","Communication and Interaction in a Professional Context 1","Martin Castro","SoSe26"
"371","IBMAN-M42-F01","Research Methodology","Prof. Dr. Christoph Dörrenbächer","SoSe26"
"372","IBMAN-M41-F01","Supervision","Prof. Dr. Katrin Böttcher","SoSe26"
"373","IBMAN-M10-F01","Business Simulation 1","Prof. Dr. Agnes Aschfalk-Evertz / Prof. Dr. oec. Thomas Gruber","SoSe26"
"374","IBMAN-M34-F01","History, Politics and Economics of the Host Country 1","Dr. Susanne Dittberner","SoSe26"
"375","IBMAN-M33-F01","Intercultural Communication 1","Dr. Katharina Maak-Castro / Martin Castro","SoSe26"
"376","IBMAN-M22-F01","International Economics","Dr. habil. Elke Muchlinski / Prof. Dr. Jennifer Pédussel Wu","SoSe26"
"377","IBMAN-M07-F01","Strategic Management","Prof. Dr. Mario Glowik","SoSe26"
"378","IBMAN-M23-F01","Fundamentals of Business Law","Prof. Dr. Torsten Straub","SoSe26"
"379","IBMAN-M03-F01","Marketing","Prof. Dr. Andrea Rumler","SoSe26"
"380","IBMAN-M11-F01","Operations Management","Prof. Dr. Alexander Tsipoulanidis","SoSe26"
"381","IBMAN-M27-F01","Statistics","Prof. Dr. Frank Brand","SoSe26"
"382","IBMAN-M25-F01","Work, Business and Society","Nikos Markogiannakis","SoSe26"
"383","IBMAN-M08-F01","International Management 1","Prof. Dr. Christoph Dörrenbächer","SoSe26"
"384","IBMAN-M06-F01","Management Accounting and Controlling","Prof. Dr. Michael Faustino Bauer","SoSe26"
"385","IBMAN-M09-F01","Organisational Behaviour in International Companies 1","Prof. Dr. Barbara Beham","SoSe26"
"386","IBMAN-M12-F01","Corporate Environmental Management","Prof. Dr. Annett Baumast","SoSe26"
"387","IBMAN-M29-F01","Business Applications","Prof. Dr. Fatoumata Camara","SoSe26"
"388","IBMAN-M05-F01","Principles of Managerial Accounting","Prof. Dr. oec. Thomas Gruber","SoSe26"
"389","IBMAN-M21-F01","Macroeconomics: The Economic Cycle and Employment","Prof. Dr. Till Strohsal","SoSe26"
"390","IBMAN-M24-F01","Regional Studies 1","Prof. Dr. José Magone","SoSe26"
"391","IBMAN-M02-F01","Principles of Corporate Finance","Prof. Dr. Marc Crummenerl","SoSe26"
"392","IBMAN-M30-F01","Introduction to the Study Programme and the Academic Environment","Prof. Dr. Mario Glowik","SoSe26"
"393","IBMAN-M31-F01","Self Management 1","Daisy Krüger","SoSe26"
"394","IBMAN-M04-F01","Principles of Financial Accounting","Alexander Westphal","SoSe26"
"395","IBMAN-M01-F01","Human Resources and Organisation","John C. Davis","SoSe26"
"396","IBMAN-M26-F01","Mathematics for Business and Economics","Sourav Adhikari","SoSe26"
"397","IBMAN-M20-F01","Microeconomics: Allocation and Distribution","Prof. Dr. Jennifer Pédussel Wu","SoSe26"
"398","IBMAN-M28-F01","Digital Business","Dr. Salim Chujfi La Roche","SoSe26"
"399","IBMAN-M08-F01","International Management 2","Prof. Dr. Ewa Ostaszewska","SoSe26"
"400","IBMAN-M09-F01","Organisational Behaviour in International Companies 2","Dr. Jessica Di Bella","SoSe26"
"401","IBMAN-M10-F01","Business Simulation 2","Prof. Dr. rer. Sabine Haller / Prof. Dr. Tobias Braun","SoSe26"
