Angebotsnummer,Bezeichnung,Credits,Prüfungsvorlage,Veranstaltungstyp,Dozierende
BA-BUS-MSP-F05,Business English and Communication C1 - Business English and Communication C1 __ 1,5,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Krzysztof Debicki
BA-BUS-MSP-F05,Business English and Communication C1 - Business English and Communication C1 __ 2,5,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Mariana Aguilar Ramírez
BA-BUS-MSP-F05,Business English and Communication C1 - Business English and Communication C1 __ 3,5,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Nisha Becker
BUS-MSP-F03,"Business English B 2.1, Part 1 - Business English B 2.1, Part 1 __ 1",3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",John M. Gordon
BUS-MSP-F03,"Business English B 2.1, Part 1 - Business English B 2.1, Part 1 __ 2 Abend",3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Michael David
BUS-MSP-F04,"Business English B 2.1, Part 2 - Business English B 2.1, Part 2 __ 1",3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Isabel Vinda
BUS-MSP-F04,"Business English B 2.1, Part 2 - Business English B 2.1, Part 2 __ 2",3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Krzysztof Debicki
BUS-MSP-F05,"Business English B 2.2, Part 1 - Business English B 2.2, Part 1 __ 1",3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Peter Sedy
BUS-MSP-F05,"Business English B 2.2, Part 1 - Business English B 2.2, Part 1 __ 2 Abend",3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Michael David
BUS-MSP-F06,"Business English B 2.2, Part 2 - Business English B 2.2, Part 2 __ 1",3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Nisha Becker
BUS-MSP-F06,"Business English B 2.2, Part 2 - Business English B 2.2, Part 2 __ 2 entfällt",3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",
BUS-MSP-F06,"Business English B 2.2, Part 2 - Business English B 2.2, Part 2 __ 3",3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Giles Shephard
BUS-MSP-F07,"Business English C 1.1, Part 1 - Business English C 1.1, Part 1 __ 1",3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Aleksandar Zivkovic
BUS-MSP-F07,"Business English C 1.1, Part 1 - Business English C 1.1, Part 1 __ 2",3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Alex Storonkin
BUS-MSP-F08,"Business English C 1.1, Part 2 - Business English C 1.1, Part 2 __ 1 entfällt",3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",
BUS-MSP-F08,"Business English C 1.1, Part 2 - Business English C 1.1, Part 2 __ 2",3,Leistungstest (undifferenziert),"Projektseminar, Action-learning",Alex Storonkin
