modul_id,modulbezeichnung,etcs,sws,prüfungsform,veranstaltungstyp
GSCOM-M11-F01,Research Seminar,6,,Leistungstest (undifferenziert),seminaristischer Lehrvortrag
FACT-M08-F02,Besteuerung grenzüberschreitender Transaktionen,6,5,,Kombinierte Prüfung,seminaristischer Lehrvortrag
FACT-M23-F01,Forschungsmethodisches Seminar,6,,Leistungstest (undifferenziert),seminaristischer Lehrvortrag
BIPM-M11-F01,Research Seminar,6,,Leistungstest (undifferenziert),Projektseminar, Action-learning
BA-ISUM-M11-F01...,Sustainable Operations Management II,5,,Klausur,seminaristischer Lehrvortrag
BA-ISUM-M14-F01...,Integrated Sustainability Reporting,5,,Kombinierte Prüfung,seminaristischer Lehrvortrag
BA-ISUM-M17-F01...,Statistics & Applications in Data Science,5,,Klausur,seminaristischer Lehrvortrag
BA-ISUM-M22-F01...,Entrepreneurial Project III,10,,Portfolio,seminaristischer Lehrvortrag
BA-ISUM-M24-F01...,Storytelling for Business & Business Ethics,5,,Kombinierte Prüfung,Übung
BA-ISUM-M09-F01...,Sustainability Marketing,5,,Kombinierte Prüfung,seminaristischer Lehrvortrag
BA-ISUM-M23-F01...,Academic Writing & Managing Complexity ,5,,Kombinierte Prüfung,Übung
BA-ISUM-M21-F04...,Entrepreneurial Project II,5,,Portfolio,Projektseminar, Action-learning
BA-IDB-M09-F01,Digitales Performance Management ,5,,Klausur,seminaristischer Lehrvortrag
BA-IDB-M14-F01,Digital Literacy IV: Software Architectures,5,,Kombinierte Prüfung,seminaristischer Lehrvortrag
BA-IDB-M17-F01,Statistics & Applications in Data Science,5,,Klausur,seminaristischer Lehrvortrag
BA-IDB-M22-F01,Entrepreneurial Project III,10,,Portfolio,Projektseminar, Action-learning
BA-IDB-M24-F01,Storytelling for Business & Business and Data Ethics,5,,Kombinierte Prüfung,seminaristischer Lehrvortrag
BA-IDB-M08-F01,Digital Marketing,5,,Kombinierte Prüfung,seminaristischer Lehrvortrag
BA-IDB-M11-F01,Digital Literacy I: Coding,5,,Portfolio,seminaristischer Lehrvortrag
BA-IDB-M21-F04,Entrepreneurial Project II,5,,Portfolio,Projektseminar, Action-learning
BA-IDB-M23-F03,Academic Writing & Managing Complexity ,5,,Kombinierte Prüfung,Übung
BA-BUS-MSQ-F01,Selbstmanagement ,2,5,,Leistungstest (undifferenziert),Projektseminar, Action-learning
BA-BUS-MSQ-F02,Kommunikation und Präsentation ,2,5,,Leistungstest (undifferenziert),Projektseminar, Action-learning
BA-BUS-MSQ-F04,Tabellenkalkulation für Entscheidungen in der Wirtschaft (Excel),2,5,,Leistungstest (undifferenziert),Projektseminar, Action-learning
BA-BUS-MSQ-F05,Gesprächsführung,2,5,,Leistungstest (undifferenziert),Projektseminar, Action-learning
BA-BUS-MSQ-F06,Interkulturelle Kompetenz,2,5,,Leistungstest (undifferenziert),Projektseminar, Action-learning
BA-BUS-MSQ-F08,Design Thinking,2,5,,Leistungstest (undifferenziert),Projektseminar, Action-learning
BA-BUS-MSQ-F12,Generative AI,2,5,,Leistungstest (undifferenziert),Projektseminar, Action-learning
BA-BUS-MSP-F06,Business English B1: Compact Refresher,2,5,,Leistungstest (undifferenziert),Projektseminar, Action-learning
BA-BUS-MSP-F02,Business English and Communication B1+,5,,Leistungstest (undifferenziert),Projektseminar, Action-learning
BA-BUS-MSP-F03,Business English and Communication B2 ,5,,Leistungstest (undifferenziert),Projektseminar, Action-learning
BA-BUS-MSP-F04,Business English and Communication B2+ ,5,,Leistungstest (undifferenziert),Projektseminar, Action-learning
BA-BUS-MSP-F05,Business English and Communication C1 ,5,,Leistungstest (undifferenziert),Projektseminar, Action-learning
BUS-MSP-F03,Business English B 2.1, Part 1 ,3,,Leistungstest (undifferenziert),Projektseminar, Action-learning
BUS-MSP-F04,Business English B 2.1, Part 2 ,3,,Leistungstest (undifferenziert),Projektseminar, Action-learning
BUS-MSP-F05,Business English B 2.2, Part 1 ,3,,Leistungstest (undifferenziert),Projektseminar, Action-learning
BUS-MSP-F06,Business English B 2.2, Part 2 ,3,,Leistungstest (undifferenziert),Projektseminar, Action-learning
BUS-MSP-F07,Business English C 1.1, Part 1 ,3,,Leistungstest (undifferenziert),Projektseminar, Action-learning
BUS-MSP-F08,Business English C 1.1, Part 2 ,3,,Leistungstest (undifferenziert),Projektseminar, Action-learning
BUS-MSP-F09,Business English C 1.2, Part 1 ,3,,Leistungstest (undifferenziert),Projektseminar, Action-learning
BUS-MSP-F10,Business English C 1.2, Part 2 ,3,,Leistungstest (undifferenziert),Projektseminar, Action-learning
CAF-MBS-F01,Internationale Unternehmensbesteuerung,5,,Mündliche Prüfung (P),seminaristischer Unterricht
CAF-MFin-F01,Finanzierungs- und Investitionspolitik der Unternehmen ,5,,Klausur,seminaristischer Unterricht
CAF-MFin-F02,Finanzwirtschaftliche Analyse und Bewertung ,5,,Kombinierte Prüfung,seminaristischer Unterricht
CAF-MFin-F03,Finanzwirtschaft der Kapitalmärkte ,5,,Mündliche Prüfung (P),seminaristischer Unterricht
CAF-MFin-F03,Finanzwirtschaft der Kapitalmärkte ,5,,Klausur,seminaristischer Unterricht
CAF-MFin-F06,Quantitative and Computational Finance,5,,Kombinierte Prüfung,seminaristischer Unterricht
CAF-MM-F01,Produkt- und Vertriebsmanagement ,5,,Kombinierte Prüfung,seminaristischer Unterricht
CAF-MM-F02,Marktforschung ,5,,Kombinierte Prüfung,seminaristischer Unterricht
CAF-MM-F03,Kommunikation und Käuferverhalten ,5,,Kombinierte Prüfung,seminaristischer Unterricht
CAF-MM-F05,Digital Strategies for Public Communication, Social Media and Marketing,5,,Kombinierte Prüfung,seminaristischer Unterricht
CAF-MM-F08,Diversity in Consumer Research,5,,Kombinierte Prüfung,Seminar
CAF-MM-F09,Online Marketing,5,,Kombinierte Prüfung,seminaristischer Unterricht
CAF-MPO-F01,Personalmanagement ,5,,Kombinierte Prüfung,seminaristischer Unterricht
CAF-MPO-F02,Organisationsgestaltung ,5,,Kombinierte Prüfung,seminaristischer Unterricht
CAF-MPO-F03,Rechtliche Aspekte von Personal und Organisation,5,,Kombinierte Prüfung,seminaristischer Unterricht
CAF-MPO-F05,Führung und Teamarbeit in hybriden Arbeitsumgebungen ,5,,Kombinierte Prüfung,seminaristischer Unterricht
CAF-MPO-F06,Management Consulting,5,,Kombinierte Prüfung,seminaristischer Unterricht
CAF-MRE-F01,Bilanzierung und Recht der Rechnungslegung ,5,,Klausur,seminaristischer Unterricht
CAF-MRE-F02,Internationale Rechnungslegung ,5,,Klausur,seminaristischer Unterricht
CAF-MRE-F03,Konzernrechnungslegung / Konzerncontrolling,5,,Klausur,seminaristischer Unterricht
